GlobalNo,Category,PdfSlNo,Status,Evidence,RuleText
37,A,37,Deferred,"input_rules.py:161-173 documented deviation (2026-09-12): Article 276(2) constitutional cap + ITR-1's own PDF independently agree on Rs2,500; ITR-2 PDF's Rs5,000 treated as a drafting error, matching the #323/#347 precedent.","In Schedule Salary, Professional tax u/s 16(iii) will be allowed only to the extent of Rs.5000/-"
55,A,55,Deferred,"Documented deviation (2026-09-12, input_rules.py near ITR2-IN-SAL-006): old-regime 10(14)(i)/10(14)(ii) allowances are legitimate old-regime-only exemptions (this app's own frontend has separate '(115BAC)' codes specifically for the new-regime-disallowed variants) -- treated as CBDT rule #54's content duplicated with the regime flipped, matching the #37/#323/#347/#350 precedent.","If old tax regime is selected, the following allowances cannot be claimed as exempt (i.e. all these allowances should not be more than zero): ""Section 10(14)(i) - Allowances referred in sub-clauses (a) to (c) of sub-rule (1) in Rule 2BB"" ""Section 10(14)(ii) - Transport allowance granted to certain physically handicapped assessee"""
169,A,169,Deferred,"Reclassified Deferred (2026-09-12): itd/itr2.py's _accrued_cg() (Table F builder) carries an explicit, extensive docstring stating this table is a deliberate approximation -- exact reconciliation would require re-deriving section 50CA deeming and 112A grandfathering per-transaction, which 'would not even reconcile back to those aggregate figures (50CA deeming in particular is not distributive over a sum)', and the docstring explicitly notes Table F 'has no downstream consumer' unlike Table E/CurrYrLosses. A validator enforcing exact equality against this deliberately-approximate figure would be validating against the wrong target. Not implemented; matches this codebase's established precedent for a documented, deliberate limitation.","In schedule CG at table F the total of all the quarters of field ""Short-term capital gains taxable at the rate of 30%"" should match with field 3(iv) of schedule BFLA ""Short-term capital gain taxable @ 30%"" (Not applicable for Resident Senior Citizens)"
170,A,170,Deferred,"Reclassified Deferred (2026-09-12): itd/itr2.py's _accrued_cg() (Table F builder) carries an explicit, extensive docstring stating this table is a deliberate approximation -- exact reconciliation would require re-deriving section 50CA deeming and 112A grandfathering per-transaction, which 'would not even reconcile back to those aggregate figures (50CA deeming in particular is not distributive over a sum)', and the docstring explicitly notes Table F 'has no downstream consumer' unlike Table E/CurrYrLosses. A validator enforcing exact equality against this deliberately-approximate figure would be validating against the wrong target. Not implemented; matches this codebase's established precedent for a documented, deliberate limitation.","In schedule CG at table F total of all the quarters of field ""Short-term capital gains taxable at applicable rates"" should match with field 3(v) of schedule BFLA ""Short-term capital gain taxable at applicable rates"" (Not applicable for Resident Senior Citizens)"
171,A,171,Deferred,"Reclassified Deferred (2026-09-12): itd/itr2.py's _accrued_cg() (Table F builder) carries an explicit, extensive docstring stating this table is a deliberate approximation -- exact reconciliation would require re-deriving section 50CA deeming and 112A grandfathering per-transaction, which 'would not even reconcile back to those aggregate figures (50CA deeming in particular is not distributive over a sum)', and the docstring explicitly notes Table F 'has no downstream consumer' unlike Table E/CurrYrLosses. A validator enforcing exact equality against this deliberately-approximate figure would be validating against the wrong target. Not implemented; matches this codebase's established precedent for a documented, deliberate limitation.","In schedule CG at table F total of all the quarter of field ""Short-term capital gains taxable at DTAA rates"" should match with field 3(vi) of schedule BFLA ""Short-term capital gain taxable at special rates in India as per DTAA"" (Not applicable for Resident Senior Citizens)"
172,A,172,Deferred,"Reclassified Deferred (2026-09-12): itd/itr2.py's _accrued_cg() (Table F builder) carries an explicit, extensive docstring stating this table is a deliberate approximation -- exact reconciliation would require re-deriving section 50CA deeming and 112A grandfathering per-transaction, which 'would not even reconcile back to those aggregate figures (50CA deeming in particular is not distributive over a sum)', and the docstring explicitly notes Table F 'has no downstream consumer' unlike Table E/CurrYrLosses. A validator enforcing exact equality against this deliberately-approximate figure would be validating against the wrong target. Not implemented; matches this codebase's established precedent for a documented, deliberate limitation.","In schedule CG at table F total of all the quarter of field ""Long term capital gains taxable @ DTAA rates"" should match with field 3(viii) of schedule BFLA ""Long-term capital gain taxable at special rates in India as per DTAA"" (Not applicable for Resident Senior Citizens)"
180,A,180,Deferred,"Reclassified Deferred (2026-09-12): itd/itr2.py's _accrued_cg() (Table F builder) carries an explicit, extensive docstring stating this table is a deliberate approximation -- exact reconciliation would require re-deriving section 50CA deeming and 112A grandfathering per-transaction, which 'would not even reconcile back to those aggregate figures (50CA deeming in particular is not distributive over a sum)', and the docstring explicitly notes Table F 'has no downstream consumer' unlike Table E/CurrYrLosses. A validator enforcing exact equality against this deliberately-approximate figure would be validating against the wrong target. Not implemented; matches this codebase's established precedent for a documented, deliberate limitation.","In Schedule CG, Table F Sl. No. 7 the breakup of all the quarters should be equal to the value of 'Income under the head Capital Gain' of schedule SI"
181,A,181,Deferred,"Reclassified Deferred (2026-09-12): itd/itr2.py's _accrued_cg() (Table F builder) carries an explicit, extensive docstring stating this table is a deliberate approximation -- exact reconciliation would require re-deriving section 50CA deeming and 112A grandfathering per-transaction, which 'would not even reconcile back to those aggregate figures (50CA deeming in particular is not distributive over a sum)', and the docstring explicitly notes Table F 'has no downstream consumer' unlike Table E/CurrYrLosses. A validator enforcing exact equality against this deliberately-approximate figure would be validating against the wrong target. Not implemented; matches this codebase's established precedent for a documented, deliberate limitation.","In Schedule CG, Table F Sl. No.7 the breakup of all the quarters should be equal to the value at Sl. No. C2"
323,A,323,Deferred,"input_rules.py:626-636 explicit code comment: literal PDF text ('80TTB disallowed to senior citizen') is treated as a mis-transcription since 80TTB is legally FOR seniors; the underlying real scenario (80TTA superseded) is covered by VIA-034 instead, but the rule AS LITERALLY WRITTEN is deliberately not implemented","If option No is selected for 'Are you opting for new tax regime u/s 115BAC?', Deduction u/s 80TTB is not allowed to senior citizen."
347,A,347,Deferred,"input_rules.py:1717-1729 explicit code comment: ITR-2's own PDF text ('60% of salary, no cap') is treated as an isolated CBDT drafting error since ITR-1/ITR-4's official PDFs both independently state 46.2%/288000 for the same statutory provision; code implements 46.2%/288000 (ITR2-IN-VIA-014/015) instead of the literal ITR-2 PDF text",Deduction u/s 80CCH to be limited to 60% of salary.
