GlobalNo,Category,PdfSlNo,Status,Evidence,RuleText
2,A,2,Missing,"Phase 1 research spike (2026-09-12): confirmed via the official ERI API Specification (Reference Docs by CBDT & ITD/Official ERI REFERENCE Documentation/ERI API Specification_v1.1.pdf) -- the ERI program's full API catalog is exactly {Login, Prefill, Validation, Verification, Submit, Add Client, Get Acknowledgement}, with no PAN-database name/DOB verification service anywhere in it. This would require a separate NSDL PAN-verification product/partnership entirely outside the ERI integration this codebase has. Permanently out of scope; not planned.","Name of the taxpayer does not match with the ""Name"" as per the PAN database. Please update the name as appearing in e-filing profile."
3,A,3,Missing,"Phase 1 research spike (2026-09-12): confirmed via the official ERI API Specification (Reference Docs by CBDT & ITD/Official ERI REFERENCE Documentation/ERI API Specification_v1.1.pdf) -- the ERI program's full API catalog is exactly {Login, Prefill, Validation, Verification, Submit, Add Client, Get Acknowledgement}, with no PAN-database name/DOB verification service anywhere in it. This would require a separate NSDL PAN-verification product/partnership entirely outside the ERI integration this codebase has. Permanently out of scope; not planned.","Assessee claiming the benefit of senior citizen & super senior citizen, but the date of birth is not matching with PAN database/ Aadhaar database"
4,A,4,Missing,ITR2Input has no field tracking the ORIGINAL return's own filing section to cross-check against a 142(1) notice,If the original return is filed under section 142(1) then revised return cannot be filed
8,A,8,Missing,no distinct 'uploader's own PAN' field tracked separately from assessee PAN to compare,"Return is being filed by Representative Assessee, but the PAN quoted in Schedule Verification is not the same as the PAN who is trying to upload the return."
15,A,15,Missing,"UI-schedule-enablement concept; only an adjacent, different check exists (schemas/itr2.py:245-247 SEBI reg + non-resident required when FII/FPI)","In Part A General, ""Whether you are FPI?"" should be selected ""Yes"" for enabling the Schedule 115AD(1)(b)(iii)-Proviso"
17,A,17,Missing,no ITD-internal PAN 'role CD' concept represented anywhere in schema,Return which is getting filed should be as per role CD of the PAN
83,A,83,Missing,app/schemas/itr2.py:212 benefit_us_115h: bool = False is a plain boolean with no tri-state representation -- cannot distinguish 'explicitly answered No' from 'never answered' as this rule requires. Structurally impossible without an Optional[bool] (or enum) schema change.,"Being Resident or Resident but not Ordinarily resident Individual question ""Please select whether you want to claim the benefit u/s 115H or not"" should be answered."
153,A,153,Missing,input_rules.py:1118-1128 comment: 112(1)(c)/115AC eligibility gate is 'Not representable' on the Schedule-CG side -- confirmed via grep of CGAssetType/CGTransaction: no field classifies a CG transaction under 112(1)(c) or 115AC at all.,"In Schedule Capital Gain, Resident cannot claim tax benefit u/s 112(1)(c) at Sl. No. B5ie if he has not exercised option under 115H."
155,A,155,Missing,Same as #153 -- input_rules.py:1118-1128 comment confirms Schedule-CG-side 115AC representation does not exist in CGTransaction/CGAssetType.,"In Schedule Capital Gain, Resident cannot claim tax benefit u/s 115AC at Sl. No. B5iie if he has not exercised option under 115H."
225,A,225,Missing,"app/schemas/itr2.py:999-1006 OSSection89A has only aggregate fields (income_notified, income_notified_other, income_notified_prior_yr, relief, country_entries) -- no q1-q5 quarterly breakdown field exists anywhere for this rule's quarterly-breakup-vs-(notified-minus-relief) comparison. Structurally impossible to implement as written; reclassified from Not Implemented.","The quarterly breakup of Income from retirement benefit account maintained in a notified country u/s 89A"" must be equal to amount entered in ""Income from retirement benefit account maintained in a notified country u/s 89A"" less ""Income claimed for relief from taxation u/s 89A""."
277,A,277,Missing,app/schemas/itr2.py's AssesseeRepresentativeProfile (line 150) has no PAN field at all -- the representative-verification-PAN half of this rule is structurally impossible to check without a schema addition.,"Donee PAN should not be same as ""Assessee PAN"" or ""PAN at Verification"""
